,article_title
0,Two held over English Channel 'migrant smuggling'
1,Newcastle United 0-2 Manchester United: Ole Gunnar Solskjaer wins fourth game from four
2,Chelsea 0-0 Southampton: Saints frustrate fourth-placed Blues at Stamford Bridge
3,Weak iPhone demand forces Apple to cut revenue forecasts     - CNET
4,"Space in 2019 will be all about the moon, and one weird asteroid     - CNET"
5,Honda wants to help your baby sleep with the sound of a screaming turbo V6     - Roadshow
6,"Pompeo discusses Venezuela response with Colombia, Brazil"
7,Puerto Rico policeman detained after holding people hostage
8,Officials ID man fatally shot during struggle with deputy
9,NC governor: Ballot fraud hearing unlikely without GOP
10,Crash kills 2 Philly Mummers; driver may have stabbed self
11,Mexico finds Flayed god temple; priests wore skins of dead
12,Michigan’s new attorney general to review pipeline deal
13,Netflix’s ‘Bird Box’ success gets Hollywood clucking
14,"Frigid temperatures chill southern Arizona, much of West"
15,Box office records break as Broadway says goodbye to 2018
16,"Daryl Dragon, of ‘The Captain and Tennille,’ dead at 76"
17,Penn State moves to trademark the Happy Valley nickname
18,Apple sees further weakness in iPhone sales
19,New Year’s Eve television viewership takes a dip
20,GM hits federal electric car sales threshold six months after Tesla
21,This adorable couple has competed in 'Mario Kart' religiously since 2001
22,Disney's box office topped $7 billion in 2018 and half of it was Marvel movies
23,Apple shares stop trading ahead of bad financial news
24,"TurboTax, Quicken, QuickBooks, and more tax software on sale"
25,Meet the Man Who Turned Trump’s ‘Flip Flops’ Into Actual Flip Flops You Can Wear to the Pool
26,A Doughnut Truck Caught on Fire and Cops Have Intense Feelings About It
27,"Don’t Look Now, But People Are Doing the ‘Bird Box Challenge’"
28,"Bob Einstein, comedy writer and Curb Your Enthusiasm actor, dies aged 76"
29,"Daryl Dragon, singer and pianist from the Captain and Tennille, dies aged 76"
30,Police: 5 Israeli officers hurt by stone-throwing settlers
31,Jury selection next in trial over 6 killings in Michigan
32,"Police: Tennessee officers shot, killed man armed with knife"
33,"Sanders allies contrite, defiant amid harassment allegations"
34,"Pelosi poised to become House speaker, making history again"
35,Russian apartment collapse death toll rises to 37
36,"After shutdown talks go nowhere, officials to try again"
37,"Ariana Grande, Childish Gambino among Coachella headliners"
38,Conversations With Ma: Bathroom Trash and Germ Theory
39,"“Bird Box,” Reviewed: An Apocalypse Built for Netflix"
40,McDonald’s customer charged with battering workers
41,"Resident, 73, charged in killing of nursing home roommate"
42,Deputies fired 8 gunshots to subdue lion after fatal attack
43,Suit over N Carolina legislative maps stays in state court
44,"Voting rights case costs Kansas county about $70,000 so far"
45,New St. Louis County prosecutor fires some staff
46,North Carolina trooper kills man during traffic stop
47,No jail in case of elderly woman dumped from wheelchair
48,Women behind ‘Black Girl Magic’ campaign sworn in to office
49,How major US stock indexes fared Wednesday
50,TigerSwan loses bid for attorney fees in North Dakota case
51,US average for gasoline seen peaking at $3 a gallon in May
52,LA police make arrest in burglaries of Hollywood Hills homes
53,"1 missing, 16 rescued after ship catches fire in Pacific"
54,Lord & Taylor flagship store locks its doors forever
55,Pro wrestling interviewer ‘Mean Gene’ Okerlund dies
56,NASA: Icy object past Pluto looks like reddish snowman
57,Bob Einstein of Super Dave and “Curb” fame dies at 76
58,Bob Einstein of Super Dave and “Curb” fame dies at 76
59,Michigan man held for spying in Russia was frequent visitor
60,Best phones in Australia 2019: top 10 smartphones tested and ranked
61,Best movies on Netflix (January 2019): 20 films you need to watch right now
62,China is about to land a spacecraft on the far side of the moon
63,Hackers are taking over Chromecasts to promote PewDiePie’s channel
64,Why exercise alone won’t save us
65,Why we are fascinated by miniature books
66,Age against the machine: the secret to enjoying a long life
