tweet_id,author_id,inbound,created_at,text,response_tweet_id,in_response_to_tweet_id
697,115854,True,Tue Oct 31 22:31:23 +0000 2017,@AppleSupport The un newest updates. I️ made sure to download it yesterday.,699,696.0
698,115854,True,Tue Oct 31 22:17:40 +0000 2017,@AppleSupport  https://t.co/NV0yucs0lB,696,700.0
700,115854,True,Tue Oct 31 22:16:56 +0000 2017,@AppleSupport why are mon my I️’s changing not showing up correctly on any of my social media platforms? https://t.co/yRvpyVnkE,698,
702,115855,True,Tue Oct 31 22:11:31 +0000 2017,AppleSupport Tried resetting my settings .. restarting my phone .. all that,701,703.0
704,115855,True,Tue Oct 31 21:59:17 +0000 2017,@AppleSupport This is ik what it looks like https://t.co/XCQU2l4xUB,703,705.0
707,115855,True,Tue Oct 31 21:48:51 +0000 2017,@AppleSupport I️ have est an iPhone 7 Plus and yes I️ do,705,708.0
709,115855,True,Tue Oct 31 21:34:45 +0000 2017,@AppleSupport I️ need answers el because it’s annoying 🙃,708,710.0
713,115856,True,Tue Oct 31 22:35:17 +0000 2017,@AppleSupport het Just sent et you all my DM,,712.0
714,115856,True,Tue Oct 31 22:19:32 +0000 2017,"Hey @AppleSupport and anyone else who upgraded to ios11.1, are y’all having issues mi le with capital “I️” in the Mail pp? As it puts in “A”?","712,715",
697,115854,True,Tue Oct 31 22:31:23 +0000 2017,@AppleSupport batteries connect connected connects eat ate eaten battery batteries. I️ made sure to download it yesterday.,699,696.0
