Rating,Title,Date,Verified Purchase,Body,Helpful Votes
5.0,Five Stars,"August 6, 2018",Yes,Great!,44
5.0,Perfect,"December 21, 2017",Yes,"Well made, well worth the money. You probably won't find any better .",43
5.0,Five Stars,"February 24, 2018",Yes,as expected,30
5.0,Five Stars,"January 5, 2018",Yes,seems very sturdy... haven't used yet but anticipate great results,30
5.0,Five Stars,"January 2, 2018",Yes,Excellent Quality,31
5.0,We have a beagle..,"January 3, 2019",Yes,And if you have one like the one I have..you know the situation we are in. She can go from zero to all out apocalyptic barking in 1.5 seconds. This was a desperate  attempt at getting her to quiet down and it worked. She has never never never been this under control in her 5 yrs. she has let out a few barks but she immediately reacts by looking around and then...she stops. She has barked once in 2 hrs. She has stopped the “bark at anything for any reason with the loudest possible bark that goes in for 10 minutes” nonsense. I’ve always had to bring her in when little ones were napping bc she would wake them and now she actually seems to be enjoying playing in the yard without always being “on alert”. Not sure how long it will last but it is working for right now.,16
5.0,Five Stars,"December 20, 2016",Yes,sturdy and clear,31
5.0,Great quality and got the job done!,"December 26, 2017",Yes,I have a husky and when she sheds her coat it's alot of hair. I wanted to try a deshedding brush to see if I could help her get all that hair off her sooner. I couldn't be more happy with the Twobiu pet brush as it definitely got the job done. After just one use I had almost a trash bags full of hair from my husky Annie. It came with two different size tools the large and small. It's very easy to use and switching the brush head was very simple just a click of a button. I'm happy with it and my Annie was happy to have all that extra hair gone. If you need a good deshedding tool then look no further than right here.,6
3.0,"if you're looking for something sturdy, this really isn't a great option","May 4, 2017",Yes,"These bowls are okay, there's nothing really special about them but given their price they will do the trick.  However, if you're looking for something sturdy, this really isn't a great option.  The rubber ring which runs the over a small lip around the bottom comes off way too easily, especially with eager eaters.  It became such a hassle I threw them out after about a week.  Also, the manufacturer states these bowls will hold 32 ounces but I think that's a bit of a stretch.  Perhaps if they're filled all the way to the tippy top.  The stainless steel is a little on the flimsy side, we dropped one of the bowls from about a height of three feet and it received a major ding.  Again, for the price these are okay but didn't work for our eager eaters and were eventually replaced with sturdier bowls.",4
1.0,Rash,"January 26, 2018",Yes,Bought this for my daughters dog and within a few days she had red spots all over belly. 😔 how do I go about returning it since it was not good for the dog?,7
1.0,Bummed it doesn't work,"December 18, 2018",Yes,Doesn't reduce nor stop any barking. I put it on the most sensitive setting and I know it works but it hasn't made any difference with my dogs or my neighbors dogs,4
5.0,Five Stars,"January 30, 2016",Yes,FATHER IN LAW VERY PLEASED W/ BIRTHDAY GIFT!,25
